dataset,model,model_short,variant,trial,val_acc,clean_acc,noisy_acc,epochs,params,n_points,num_classes,batch_size
circles_noisy,GTTensorFieldNetworkV2,GTTFNv2,consistency-lam1.0,0,99.33333333333333,0.9933333333333333,0.9933333333333333,20,88389,600,3,32
circles_noisy,GTTensorFieldNetworkV2,GTTFNv2,consistency-lam1.0,1,99.33333333333333,0.9933333333333333,0.9933333333333333,20,88389,600,3,32
circles_noisy,GTTensorFieldNetworkV2,GTTFNv2,cov-feat,0,100.0,1.0,1.0,20,100869,600,3,32
circles_noisy,GTTensorFieldNetworkV2,GTTFNv2,cov-feat,1,100.0,1.0,1.0,20,100869,600,3,32
circles_noisy,GTTensorFieldNetworkV2,GTTFNv2,denoise,0,100.0,1.0,1.0,20,88389,600,3,32
circles_noisy,GTTensorFieldNetworkV2,GTTFNv2,denoise,1,100.0,1.0,1.0,20,88389,600,3,32
circles_noisy,GTTensorFieldNetworkV2,GTTFNv2,feat-pd,0,77.66666666666666,0.7633333333333333,0.7633333333333333,20,88389,600,3,32
circles_noisy,GTTensorFieldNetworkV2,GTTFNv2,feat-pd,1,77.66666666666666,0.7633333333333333,0.7633333333333333,20,88389,600,3,32
circles_noisy,GTTensorFieldNetworkV2,GTTFNv2,geom-reg,0,99.66666666666667,0.9966666666666667,0.9966666666666667,20,88389,600,3,32
circles_noisy,GTTensorFieldNetworkV2,GTTFNv2,geom-reg,1,99.66666666666667,0.9966666666666667,0.9966666666666667,20,88389,600,3,32
circles_noisy,GTTensorFieldNetworkV2,GTTFNv2,multiscale,0,100.0,1.0,1.0,20,88389,600,3,32
circles_noisy,GTTensorFieldNetworkV2,GTTFNv2,multiscale,1,100.0,1.0,1.0,20,88389,600,3,32
circles_noisy,GTTensorFieldNetworkV2,GTTFNv2,pd-fusion,0,76.33333333333333,0.5233333333333333,0.5233333333333333,20,89091,600,3,32
circles_noisy,GTTensorFieldNetworkV2,GTTFNv2,pd-fusion,1,80.33333333333333,0.7966666666666666,0.7966666666666666,20,89091,600,3,32
circles_noisy,GTTensorFieldNetworkV2,GTTFNv2,pd-fusion,2,80.0,0.8,0.8,20,89091,600,3,32
circles_noisy,GTTensorFieldNetworkV2,GTTFNv2,train-dtm-readout,0,100.0,1.0,1.0,20,88389,600,3,32
circles_noisy,GTTensorFieldNetworkV2,GTTFNv2,train-dtm-readout,1,100.0,1.0,1.0,20,88389,600,3,32
circles_noisy,HierarchicalTensorFieldNetwork,HierTFN,attn-pool,0,66.66666666666666,0.6633333333333333,0.6666666666666666,20,194339,600,3,32
circles_noisy,HierarchicalTensorFieldNetwork,HierTFN,attn-pool,1,70.66666666666667,0.7066666666666667,0.7066666666666667,20,194339,600,3,32
circles_noisy,HierarchicalTensorFieldNetwork,HierTFN,attn-pool,2,70.66666666666667,0.6866666666666666,0.6933333333333334,20,194339,600,3,32
