dataset,model,model_short,variant,n_trials,val_acc_mean,val_acc_std,clean_acc_mean,clean_acc_std,noisy_acc_mean,noisy_acc_std,epochs,params,n_points,num_classes
shapes3d_8way,PointNet3D,PointNet3D,noise-aug,3,16.6667,5.8926,0.1667,0.0589,0.1667,0.0589,20,142472,600,8
shapes3d_8way,PointNetTutorial,PointNetTutorial,baseline,3,95.8333,5.8926,0.9583,0.0589,0.5360,0.0152,100,142408,600,8
shapes3d_8way,RelaxedOnEquivariantTensorFieldNetwork,RelaxTFN,baseline,3,73.9865,36.7887,0.7399,0.3679,0.5541,0.2953,20,1754346,600,8
shapes3d_8way,RipsPointNet,RipsPointNet,baseline,3,66.4414,31.1219,0.6644,0.3112,0.3288,0.0610,20,282088,600,8
shapes3d_8way,ScalarDistanceDeepSet,ScalarDeepSet,baseline,3,92.3423,0.4214,0.9234,0.0042,0.8086,0.0566,100,76296,600,8
shapes3d_8way,ScalarInputMLP,ScalarMLP,baseline,3,55.7432,15.7690,0.5574,0.1577,0.5405,0.1840,100,669192,600,8
shapes3d_8way,StochasticTensorFieldNetwork,StochTFN,baseline,3,100.0000,0.0000,1.0000,0.0000,0.8390,0.0708,100,42291,600,8
shapes3d_8way,TensorFieldNetwork,TFN,baseline,3,100.0000,0.0000,1.0000,0.0000,0.6430,0.0555,100,89416,600,8
shapes3d_complex,AttentionTensorFieldNetwork,AttnTFN,baseline,3,100.0000,0.0000,1.0000,0.0000,0.8411,0.1381,50,904309,600,6
shapes3d_complex,GTTensorFieldNetworkV2,GTTFNv2,attn-pool,3,100.0000,0.0000,1.0000,0.0000,0.9344,0.0721,20,90439,600,6
shapes3d_complex,GTTensorFieldNetworkV2,GTTFNv2,baseline,3,100.0000,0.0000,1.0000,0.0000,0.7911,0.1486,100,89286,600,6
shapes3d_complex,GTTensorFieldNetworkV2,GTTFNv2,pd-fusion,3,100.0000,0.0000,0.9378,0.0743,0.7644,0.1593,20,89286,600,6
shapes3d_complex,HierarchicalTensorFieldNetwork,HierTFN,attn-pool,3,99.7778,0.3143,0.9967,0.0047,0.2933,0.1054,20,194534,600,6
shapes3d_complex,HierarchicalTensorFieldNetwork,HierTFN,baseline,3,89.5556,7.3904,0.8811,0.0795,0.3122,0.0211,50,194534,600,6
shapes3d_complex,HybridOnEquivariantTensorFieldNetwork,HybridTFN,baseline,1,100.0000,0.0000,1.0000,0.0000,0.4300,0.0000,20,1863532,600,6
shapes3d_complex,OnEquivariantTensorFieldNetwork,OnEquivTFN,attn-pool,3,100.0000,0.0000,1.0000,0.0000,0.7889,0.0824,20,1754214,600,6
shapes3d_complex,OnEquivariantTensorFieldNetwork,OnEquivTFN,baseline,3,100.0000,0.0000,1.0000,0.0000,0.6289,0.2698,50,1754214,600,6
shapes3d_complex,PointNet3D,PointNet3D,baseline,3,100.0000,0.0000,1.0000,0.0000,0.8833,0.0896,20,142214,600,6
shapes3d_complex,PointNet3D,PointNet3D,noise-aug,3,33.3333,13.6083,0.3333,0.1361,0.3333,0.1361,20,142214,600,6
shapes3d_complex,PointNetTutorial,PointNetTutorial,baseline,3,100.0000,0.0000,1.0000,0.0000,0.7767,0.0638,100,142150,600,6
shapes3d_complex,RelaxedOnEquivariantTensorFieldNetwork,RelaxTFN,baseline,3,100.0000,0.0000,1.0000,0.0000,0.8700,0.0715,20,1754216,600,6
shapes3d_complex,RipsPointNet,RipsPointNet,baseline,3,100.0000,0.0000,1.0000,0.0000,0.6867,0.1061,20,281830,600,6
shapes3d_complex,ScalarDistanceDeepSet,ScalarDeepSet,baseline,3,95.1111,0.9558,0.9511,0.0096,0.9222,0.0134,100,76038,600,6
shapes3d_complex,ScalarInputMLP,ScalarMLP,baseline,3,60.8889,7.7044,0.6089,0.0770,0.5933,0.0695,100,667142,600,6
shapes3d_complex,StochasticTensorFieldNetwork,StochTFN,baseline,3,100.0000,0.0000,1.0000,0.0000,0.7356,0.1094,100,41895,600,6
shapes3d_complex,TensorFieldNetwork,TFN,baseline,3,100.0000,0.0000,1.0000,0.0000,0.7700,0.0403,100,89286,600,6
shapes3d_geometry,AttentionTensorFieldNetwork,AttnTFN,baseline,3,83.3333,23.5702,0.8333,0.2357,0.6733,0.2288,50,904179,600,4
shapes3d_geometry,GTTensorFieldNetworkV2,GTTFNv2,attn-pool,3,100.0000,0.0000,1.0000,0.0000,0.7400,0.1515,20,90309,600,4
shapes3d_geometry,GTTensorFieldNetworkV2,GTTFNv2,baseline,3,100.0000,0.0000,1.0000,0.0000,0.8433,0.1749,100,89156,600,4
shapes3d_geometry,GTTensorFieldNetworkV2,GTTFNv2,pd-fusion,3,100.0000,0.0000,1.0000,0.0000,0.9089,0.0267,20,89156,600,4
shapes3d_geometry,HierarchicalTensorFieldNetwork,HierTFN,attn-pool,3,99.7778,0.3143,0.9978,0.0031,0.2811,0.0278,20,194404,600,4
shapes3d_geometry,HierarchicalTensorFieldNetwork,HierTFN,baseline,3,99.4444,0.7857,0.9944,0.0079,0.2800,0.0109,50,194404,600,4
shapes3d_geometry,HybridOnEquivariantTensorFieldNetwork,HybridTFN,baseline,3,100.0000,0.0000,1.0000,0.0000,0.8811,0.0413,20,1863144,600,4
shapes3d_geometry,OnEquivariantTensorFieldNetwork,OnEquivTFN,attn-pool,2,100.0000,0.0000,1.0000,0.0000,0.7283,0.1550,20,1754084,600,4
shapes3d_geometry,OnEquivariantTensorFieldNetwork,OnEquivTFN,baseline,3,83.3333,23.5702,0.8333,0.2357,0.5800,0.1203,50,1754084,600,4
shapes3d_geometry,PointNet3D,PointNet3D,baseline,3,100.0000,0.0000,1.0000,0.0000,0.7044,0.1634,20,141956,600,4
shapes3d_geometry,PointNet3D,PointNet3D,noise-aug,3,50.0000,20.4124,0.5000,0.2041,0.5844,0.1124,20,141956,600,4
shapes3d_geometry,PointNetTutorial,PointNetTutorial,baseline,3,100.0000,0.0000,1.0000,0.0000,0.5011,0.0016,100,141892,600,4
shapes3d_geometry,RelaxedOnEquivariantTensorFieldNetwork,RelaxTFN,baseline,2,85.8333,14.1667,0.8583,0.1417,0.7367,0.0133,20,1754086,600,4
shapes3d_geometry,RipsPointNet,RipsPointNet,baseline,3,75.0000,35.3553,0.7500,0.3536,0.4256,0.2206,20,281572,600,4
shapes3d_geometry,ScalarDistanceDeepSet,ScalarDeepSet,baseline,3,100.0000,0.0000,1.0000,0.0000,0.7489,0.0016,100,75780,600,4
shapes3d_geometry,ScalarInputMLP,ScalarMLP,baseline,3,41.5556,23.4131,0.4156,0.2341,0.3689,0.1681,100,665092,600,4
shapes3d_geometry,StochasticTensorFieldNetwork,StochTFN,baseline,3,100.0000,0.0000,1.0000,0.0000,0.9111,0.0743,100,41499,600,4
shapes3d_geometry,TensorFieldNetwork,TFN,baseline,3,100.0000,0.0000,1.0000,0.0000,0.8444,0.1161,100,89156,600,4
shapes3d_topology,AttentionTensorFieldNetwork,AttnTFN,baseline,3,83.3333,23.5702,0.8333,0.2357,0.7956,0.2140,50,904179,600,4
shapes3d_topology,GTTensorFieldNetworkV2,GTTFNv2,attn-pool,3,100.0000,0.0000,1.0000,0.0000,0.8756,0.0906,20,90309,600,4
shapes3d_topology,GTTensorFieldNetworkV2,GTTFNv2,baseline,3,100.0000,0.0000,1.0000,0.0000,0.9256,0.0389,100,89156,600,4
shapes3d_topology,GTTensorFieldNetworkV2,GTTFNv2,pd-fusion,3,91.6667,11.7851,0.9156,0.1171,0.7756,0.1738,20,89156,600,4
shapes3d_topology,HierarchicalTensorFieldNetwork,HierTFN,attn-pool,3,96.7778,4.5569,0.9478,0.0739,0.3800,0.0482,20,194404,600,4
shapes3d_topology,HierarchicalTensorFieldNetwork,HierTFN,baseline,3,91.6667,11.7851,0.9167,0.1179,0.5800,0.0568,50,194404,600,4
shapes3d_topology,HybridOnEquivariantTensorFieldNetwork,HybridTFN,baseline,2,75.0000,25.0000,0.7500,0.2500,0.6233,0.1233,20,1863144,600,4
shapes3d_topology,OnEquivariantTensorFieldNetwork,OnEquivTFN,attn-pool,3,100.0000,0.0000,1.0000,0.0000,0.7533,0.1872,20,1754084,600,4
shapes3d_topology,OnEquivariantTensorFieldNetwork,OnEquivTFN,baseline,3,100.0000,0.0000,1.0000,0.0000,0.9778,0.0314,50,1754084,600,4
shapes3d_topology,PointNet3D,PointNet3D,baseline,3,100.0000,0.0000,1.0000,0.0000,0.8867,0.0830,20,141956,600,4
shapes3d_topology,PointNet3D,PointNet3D,noise-aug,3,57.8889,12.1116,0.5789,0.1211,0.5589,0.1027,20,141956,600,4
shapes3d_topology,PointNetTutorial,PointNetTutorial,baseline,3,100.0000,0.0000,1.0000,0.0000,0.9978,0.0031,100,141892,600,4
shapes3d_topology,RelaxedOnEquivariantTensorFieldNetwork,RelaxTFN,baseline,3,75.0000,35.3553,0.7500,0.3536,0.6700,0.3091,20,1754086,600,4
shapes3d_topology,RipsPointNet,RipsPointNet,baseline,3,66.6667,31.1805,0.6667,0.3118,0.4756,0.2141,20,281572,600,4
shapes3d_topology,ScalarDistanceDeepSet,ScalarDeepSet,baseline,3,71.7778,33.2803,0.7178,0.3328,0.6978,0.3215,50,75780,600,4
shapes3d_topology,ScalarInputMLP,ScalarMLP,baseline,3,41.6667,11.7851,0.4167,0.1179,0.4167,0.1179,100,665092,600,4
shapes3d_topology,StochasticTensorFieldNetwork,StochTFN,baseline,3,100.0000,0.0000,1.0000,0.0000,0.9400,0.0849,100,41499,600,4
shapes3d_topology,TensorFieldNetwork,TFN,baseline,3,100.0000,0.0000,1.0000,0.0000,0.9978,0.0031,100,89156,600,4
